%    T1-H1  T1-H2  T1-H3  T2-H1  T2-H2  T2-H3  T3-H1  T3-H2  T3-H3  T4-H1  T4-H2  T4-H3  T5-H1  T5-H2  T5-H3
      1.83  -0.93  -0.93   1.06  -1.72  -1.43  -0.88  -0.07  -0.86   0.44   0.33   0.60   0.27   0.06  -0.12
      0.47  -1.26  -1.41   1.07  -1.82  -1.31  -0.89  -0.29  -0.90  -0.47   0.22   0.17   0.87  -0.15  -0.08
      1.67  -1.39  -0.89   1.46  -1.91  -1.08  -1.29  -0.56  -1.10  -1.34   0.16  -0.26  -1.42  -0.43  -1.23
      0.50  -1.71  -1.24  -0.57  -2.16  -1.67  -1.48  -0.84  -1.16   0.39   0.05   0.43  -0.68  -0.69  -1.11
     -0.60  -2.00  -1.48  -0.22  -2.23  -1.40   0.76  -1.02  -0.30  -0.88  -0.04  -0.14  -0.16  -0.93  -1.03
      0.55  -2.13  -0.91   0.05  -2.31  -1.09   0.53  -1.26  -0.45   0.65  -0.08   0.49   0.37  -1.11  -0.91
     -0.78  -2.36  -1.16   0.62  -2.37  -0.70   0.39  -1.48  -0.49  -0.54  -0.13  -0.07   1.12  -1.31  -0.67
      0.48  -2.52  -0.54   0.89  -2.46  -0.42   0.05  -1.69  -0.64   0.81  -0.18   0.51  -1.32  -1.46  -1.59
     -0.85  -2.63  -0.69  -1.08  -2.60  -0.90  -0.47  -1.84  -0.81  -0.35  -0.25   0.05  -0.89  -1.56  -1.41
      0.48  -2.75   0.00  -0.73  -2.61  -0.56  -0.89  -1.90  -0.89  -1.60  -0.23  -0.47  -0.37  -1.57  -1.15
     -0.97  -2.80  -0.16  -0.35  -2.61  -0.22  -1.47  -1.91  -1.07   0.00  -0.29   0.19  -0.25  -1.56  -1.08
      0.18  -2.86   0.54   0.06  -2.63   0.15  -1.82  -1.87  -1.10  -1.27  -0.29  -0.37   0.21  -1.52  -0.77
     -1.17  -2.77   0.42   0.41  -2.62   0.51   0.54  -1.70  -0.18   0.57  -0.32   0.35   0.69  -1.42  -0.47
      0.14  -2.78   1.13  -1.34  -2.61   0.12   0.19  -1.55  -0.21  -0.57  -0.30  -0.16  -1.64  -1.29  -1.22
     -0.73  -2.62   1.09  -0.53  -2.55   0.56  -0.19  -1.40  -0.23  -1.64  -0.22  -0.58  -1.27  -1.17  -0.92
     -1.95  -2.35   0.97  -0.00  -2.49   0.88  -0.21  -1.19  -0.19   0.38  -0.29   0.23  -0.40  -1.02  -0.51
     -0.48  -2.31   1.68  -1.53  -2.34   0.53  -0.26  -0.97  -0.09  -0.64  -0.19  -0.18   0.49  -0.86  -0.00
     -1.36  -2.05   1.50  -1.02  -2.28   0.78  -0.09  -0.76   0.03  -1.37  -0.16  -0.57  -1.12  -0.66  -0.62
     -2.11  -1.73   1.28  -0.26  -2.15   1.11   0.33  -0.57   0.23   0.61  -0.18   0.11   0.20  -0.51   0.01
     -0.67  -1.54   1.77  -1.88  -1.98   0.59  -1.49  -0.39  -0.52  -0.30  -0.15  -0.33  -0.97  -0.33  -0.52
     -1.26  -1.19   1.53  -1.24  -1.81   0.85  -0.38  -0.25  -0.10  -1.20  -0.17  -0.88  -1.50  -0.18  -0.91
     -1.86  -0.80   1.28  -0.60  -1.67   1.14   0.48  -0.12   0.23   0.26  -0.16  -0.40   0.03  -0.08  -0.28
     -2.37  -0.41   0.97  -1.75  -1.49   0.73  -0.42  -0.06  -0.20  -0.86  -0.20  -1.01  -0.69   0.02  -0.71
     -2.49  -0.06   0.73  -0.95  -1.33   1.01  -1.10   0.00  -0.61   0.24  -0.18  -0.56  -1.20   0.06  -1.10
     -1.16   0.17   1.05  -0.67  -1.20   1.06   0.20   0.03  -0.06   1.09  -0.12  -0.30   0.16   0.14  -0.52
     -1.52   0.44   0.58  -1.49  -0.99   0.60  -0.28   0.02  -0.35  -0.49  -0.10  -1.09  -0.59   0.16  -0.99
     -1.95   0.64   0.13  -1.26  -0.83   0.56  -0.82  -0.01  -0.66  -0.04   0.01  -0.87   0.71   0.20  -0.43
     -1.14   0.80   0.12  -1.52  -0.65   0.28   0.54  -0.01  -0.11   0.43   0.07  -0.78  -0.10   0.21  -0.90
     -1.91   0.90  -0.46  -0.51  -0.47   0.61   0.02  -0.07  -0.40   0.59   0.17  -0.66   0.96   0.24  -0.36
     -1.25   1.04  -0.55  -1.12  -0.28   0.20  -0.40  -0.13  -0.60   0.64   0.24  -0.59   0.04   0.23  -0.79
     -1.99   1.09  -1.13  -1.49  -0.08  -0.16   0.77  -0.13  -0.09   0.72   0.28  -0.39   1.03   0.23  -0.24
     -1.10   1.14  -1.10  -0.87   0.13   0.07   0.21  -0.21  -0.32   0.68   0.35  -0.37  -0.09   0.25  -0.66
     -1.67   1.05  -1.59  -1.34   0.32  -0.27  -0.39  -0.26  -0.56   0.89   0.41  -0.16   0.57   0.22  -0.23
     -0.62   1.08  -1.42  -1.55   0.52  -0.50   0.42  -0.24  -0.16   1.39   0.43   0.25   0.91   0.19   0.11
     -0.69   0.98  -1.67  -1.61   0.69  -0.61   1.07  -0.25   0.19   0.10   0.51  -0.32   1.25   0.17   0.44
     -0.71   0.83  -1.83  -0.98   0.90  -0.08  -0.06  -0.31  -0.30   0.63   0.57   0.03  -0.10   0.14  -0.16
     -0.85   0.66  -2.02  -1.09   1.08  -0.14   0.17  -0.29  -0.12   1.45   0.60   0.55   0.26   0.11   0.07
     -0.44   0.50  -1.93  -1.59   1.19  -0.65   0.41  -0.31   0.07   0.46   0.62   0.14   0.86   0.10   0.43
     -0.29   0.38  -1.91  -1.22   1.32  -0.42   0.05  -0.30   0.04   1.46   0.62   0.80   1.10   0.10   0.58
      0.00   0.19  -1.78  -1.12   1.43  -0.25   1.04  -0.26   0.73   0.59   0.62   0.34  -0.07   0.12  -0.04
     -0.71  -0.03  -1.94  -1.45   1.47  -0.66   0.68  -0.31   0.71   0.10   0.63   0.10   0.30   0.15   0.17
     -0.53  -0.15  -1.76  -1.22   1.56  -0.46   0.78  -0.38   0.98   1.03   0.59   0.52   0.32   0.15   0.16
     -0.02  -0.17  -1.46  -1.31   1.59  -0.77   1.06  -0.48   1.31   0.09   0.63   0.08   0.42   0.16   0.26
      0.10  -0.19  -1.29  -1.17   1.63  -0.60   0.29  -0.59   1.07   1.30   0.53   0.72   0.40   0.15   0.32
     -0.48  -0.27  -1.33  -1.23   1.67  -0.87   0.51  -0.77   1.31  -0.01   0.56   0.10   0.07   0.14   0.17
     -0.14  -0.28  -1.07  -1.21   1.65  -1.11   1.25  -0.90   1.75   0.83   0.46   0.53   1.12   0.16   0.86
     -0.15  -0.25  -0.94  -1.05   1.72  -0.97   0.65  -1.06   1.48   1.02   0.38   0.68   0.67   0.13   0.81
     -0.01  -0.21  -0.77  -1.36   1.67  -1.33   0.34  -1.18   1.31   1.13   0.29   0.80   0.33   0.09   0.74
      0.01  -0.17  -0.64  -0.97   1.74  -1.08   1.21  -1.34   1.64   0.88   0.23   0.68   1.30  -0.04   1.46
     -0.15  -0.15  -0.61  -1.33   1.71  -1.41   1.02  -1.42   1.44   0.32   0.19   0.48   1.08  -0.16   1.48
     -0.07  -0.19  -0.49  -1.33   1.71  -1.63   0.69  -1.49   1.19   1.66   0.14   1.11   1.02  -0.28   1.56
     -0.03  -0.25  -0.45  -0.91   1.79  -1.33   0.83  -1.53   1.14   1.10   0.14   0.91   0.96  -0.39   1.60
      0.01  -0.29  -0.45  -0.98   1.75  -1.45   1.11  -1.56   1.12   0.40   0.13   0.63   0.58  -0.55   1.47
      0.10  -0.32  -0.40  -1.13   1.63  -1.88   1.06  -1.60   0.99   1.83   0.07   1.25   0.15  -0.68   1.27
      0.12  -0.37  -0.34  -1.15   1.59  -1.93   0.86  -1.65   0.79   1.34   0.10   1.07   1.10  -0.92   1.65
      0.28  -0.41  -0.29  -0.78   1.57  -1.80   0.66  -1.64   0.61   0.54   0.13   0.72   0.42  -0.99   1.21
      0.24  -0.55  -0.21  -0.53   1.41  -1.92   0.74  -1.65   0.48   1.50   0.09   1.02   1.07  -1.14   1.38
      0.40  -0.66  -0.12  -0.21   1.23  -1.94   0.61  -1.60   0.29   0.56   0.13   0.61   0.42  -1.13   1.00
      0.68  -0.71   0.04  -0.16   0.95  -2.06   0.64  -1.44   0.04   0.85   0.11   0.61   0.58  -1.18   0.87
     -0.04  -0.75  -0.06  -0.23   0.63  -2.06   0.85  -1.18  -0.11   0.93   0.08   0.42   0.62  -1.29   0.71
      0.07  -0.75   0.09  -0.20   0.31  -1.86   0.61  -0.84  -0.43   0.59  -0.01   0.01   0.92  -1.36   0.72
      0.18  -0.76   0.13  -0.25   0.13  -1.66   0.43  -0.39  -0.88   1.12  -0.27   0.19   1.28  -1.26   0.50
      0.05  -0.73   0.04  -0.19  -0.01  -1.44   0.07  -0.09  -1.21   0.99  -0.56   0.27   0.59  -1.16  -0.18
     -0.15  -0.73  -0.02  -0.38  -0.16  -1.33   0.20   0.17  -1.11   1.18  -0.77   0.35   0.59  -0.91  -0.46
      0.61  -0.80   0.17  -0.11  -0.21  -1.03  -0.28   0.30  -1.14   0.77  -0.75   0.38   0.88  -0.61  -0.53
      0.35  -0.82   0.08  -0.30  -0.30  -0.97  -0.75   0.44  -1.22   1.04  -0.71   0.62   0.37  -0.42  -0.82
      0.33  -0.85   0.11  -0.19  -0.34  -0.80  -0.97   0.61  -1.05   0.17  -0.63   0.30   0.36  -0.24  -0.76
     -0.02  -0.89   0.06  -0.15  -0.38  -0.65  -1.16   0.61  -0.88   0.89  -0.60   0.53  -0.25  -0.17  -0.91
      0.04  -0.87   0.14  -0.07  -0.44  -0.46  -0.97   0.62  -0.44   0.47  -0.47   0.31  -0.65  -0.06  -0.97
      0.33  -0.87   0.33  -0.05  -0.54  -0.34  -1.55   0.57  -0.48   0.26  -0.34   0.16  -0.73   0.04  -0.89
      0.03  -0.84   0.37  -0.34  -0.59  -0.31  -1.29   0.50  -0.14   0.70  -0.22   0.36  -0.57   0.08  -0.73
      0.21  -0.75   0.67  -0.44  -0.58  -0.15  -1.50   0.46  -0.03   0.77  -0.08   0.38  -0.86   0.08  -0.75
     -0.14  -0.62   0.74  -0.20  -0.57   0.15  -1.30   0.36   0.24  -0.20   0.10   0.02  -0.86   0.13  -0.55
     -0.53  -0.56   0.84  -0.48  -0.57   0.30  -1.54   0.24   0.27   0.06   0.23   0.16  -0.59   0.24  -0.34
     -0.82  -0.46   0.94  -0.21  -0.51   0.64  -1.31   0.08   0.49   0.26   0.33   0.30  -0.79   0.32  -0.31
     -0.81  -0.33   1.11  -0.44  -0.41   0.77  -1.16  -0.12   0.69   0.07   0.42   0.26  -0.47   0.42   0.05
     -0.07  -0.23   1.62  -0.87  -0.31   0.75  -1.48  -0.18   0.66   0.14   0.46   0.33  -0.82   0.45   0.08
     -0.27  -0.02   1.63  -0.32  -0.14   1.20  -1.95  -0.21   0.59   0.53   0.51   0.59  -0.67   0.53   0.36
     -0.10   0.22   1.72  -0.35   0.13   1.36  -1.10  -0.38   1.04  -0.11   0.58   0.32  -1.38   0.62   0.10
     -0.47   0.55   1.50  -0.20   0.39   1.55  -1.49  -0.38   0.98   0.59   0.55   0.63  -1.14   0.64   0.37
     -0.68   0.88   1.27   0.04   0.63   1.69  -2.00  -0.38   0.82   0.03   0.60   0.35  -1.03   0.61   0.55
     -0.74   1.15   1.08  -0.43   0.87   1.28  -1.06  -0.54   1.23   0.50   0.53   0.52  -1.62   0.67   0.32
     -0.82   1.26   0.95  -0.45   1.06   1.12  -1.59  -0.49   0.97   0.40   0.54   0.42  -1.26   0.54   0.59
      0.05   1.41   1.50  -0.47   1.22   0.99  -2.09  -0.43   0.71   0.36   0.57   0.32  -1.70   0.60   0.42
     -0.46   1.49   1.10   0.02   1.32   1.21  -0.82  -0.54   1.05   0.16   0.63   0.15  -1.29   0.41   0.56
      0.24   1.71   1.53  -0.22   1.44   1.01  -1.50  -0.49   0.65   0.72   0.68   0.32  -0.91   0.23   0.64
     -0.34   1.79   0.91  -0.23   1.53   0.85  -1.75  -0.38   0.39  -0.00   0.78  -0.23  -1.93   0.33   0.06
      0.37   1.75   1.12  -0.11   1.55   0.74  -2.52  -0.33  -0.14   0.24   0.92  -0.26  -1.43   0.20   0.06
     -0.19   1.71   0.32   0.68   1.52   1.08  -0.84  -0.30   0.36   0.51   1.00  -0.30  -2.41   0.35  -0.64
      0.84   1.57   0.50   0.71   1.44   0.73  -1.24  -0.23   0.05  -0.56   0.99  -1.07  -1.51   0.40  -0.50
      0.07   1.33  -0.33   0.41   1.23   0.22  -1.69  -0.12  -0.30  -0.25   1.01  -1.14  -0.83   0.51  -0.36
      0.84   1.04  -0.16   0.33   0.97  -0.13  -2.39  -0.02  -0.70  -0.08   1.03  -1.32  -1.73   0.74  -0.93
     -0.06   0.69  -0.93   0.24   0.69  -0.53  -0.47   0.04   0.03  -0.73   1.11  -1.88  -1.04   0.89  -0.69
      0.38   0.45  -0.83  -0.18   0.34  -0.95  -1.01   0.17  -0.32  -0.67   1.35  -1.90  -0.49   1.01  -0.42
      0.64   0.14  -0.87   0.15   0.11  -0.86  -1.56   0.28  -0.58  -0.36   1.55  -1.72  -1.81   1.16  -1.09
      0.81  -0.09  -0.90   0.50  -0.04  -0.75  -1.95   0.45  -0.86  -0.56   1.81  -1.45  -1.15   1.24  -0.71
      0.68  -0.22  -1.07   0.70  -0.20  -0.67  -0.26   0.59  -0.03  -0.98   2.07  -1.04  -0.94   1.30  -0.46
      0.64  -0.31  -1.13   0.13  -0.33  -0.90  -0.87   0.76  -0.30  -1.45   2.17  -0.58  -0.94   1.28  -0.24
      0.09  -0.29  -1.41  -0.43  -0.46  -1.07  -1.93   0.92  -0.72  -1.43   2.15   0.07  -1.17   1.20   0.07
     -0.14  -0.19  -1.43  -0.97  -0.48  -1.18  -0.63   0.97   0.24  -1.46   1.89   0.67  -1.02   1.01   0.62
     -0.73  -0.05  -1.53   0.15  -0.39  -0.45  -2.17   1.01  -0.33  -0.95   1.44   1.41  -0.94   0.77   1.13
     -1.44   0.06  -1.61  -0.66  -0.34  -0.57  -1.40   0.94   0.43  -0.75   0.88   1.98  -1.09   0.47   1.54
      0.39   0.22  -0.44   0.33  -0.23   0.21  -0.61   0.71   1.21  -1.63   0.52   1.93  -1.02   0.16   2.02
     -0.38   0.32  -0.40  -0.84  -0.14  -0.01  -0.01   0.37   1.93  -0.01  -0.01   3.06  -0.88  -0.23   2.54
     -0.88   0.32  -0.15   0.37  -0.06   1.00  -2.04   0.13   1.30  -2.12  -0.07   2.16   0.02  -0.66   3.10
     -1.28   0.30   0.23  -0.24  -0.09   1.09  -0.78  -0.27   2.18  -1.05  -0.35   2.66  -1.66  -0.80   2.38
     -0.97   0.24   0.82  -0.09  -0.19   1.41  -2.24  -0.50   1.60   0.51  -0.69   3.17  -2.79  -0.94   1.81
     -0.78   0.20   1.37   0.14  -0.32   1.80   0.15  -0.91   2.62  -0.86  -0.78   2.38  -0.02  -1.30   2.78
     -0.00   0.04   1.98  -1.94  -0.46   1.09  -0.34  -1.13   2.21  -2.13  -0.83   1.65  -0.32  -1.39   2.42
     -2.11   0.06   1.40  -1.06  -0.54   1.54  -0.78  -1.37   1.83   0.03  -1.02   2.30  -0.36  -1.47   2.14
     -0.71  -0.19   2.17   0.52  -0.58   2.20  -1.03  -1.61   1.53  -0.82  -1.00   1.61  -0.25  -1.54   1.89
     -1.90  -0.24   1.87  -0.60  -0.53   1.81  -1.54  -1.80   1.13  -1.62  -0.91   0.87  -0.27  -1.56   1.60
     -0.16  -0.41   2.70  -1.52  -0.36   1.47  -2.14  -1.84   0.65   0.76  -0.94   1.36  -0.15  -1.48   1.30
     -1.25  -0.29   2.30  -2.05  -0.14   1.31   1.60  -1.86   1.83   0.03  -0.78   0.56  -0.07  -1.40   0.92
     -1.65  -0.08   1.88  -1.99   0.16   1.29   0.89  -1.75   1.27  -0.48  -0.64  -0.15   0.11  -1.23   0.59
     -1.83   0.22   1.37  -1.77   0.37   1.14   0.38  -1.54   0.74  -1.17  -0.54  -0.91   0.14  -1.00   0.20
     -2.09   0.52   0.65  -1.07   0.62   1.08   0.27  -1.29   0.30   1.44  -0.47  -0.20   0.23  -0.80  -0.19
      0.55   0.62   1.19  -0.31   0.77   0.92   0.21  -1.00  -0.21   1.07  -0.27  -0.57   0.09  -0.54  -0.69
      0.28   0.89   0.50   0.13   0.79   0.56   0.03  -0.77  -0.72   0.88  -0.09  -0.75   0.17  -0.30  -1.05
      0.10   1.07  -0.07   0.88   0.85   0.35  -0.13  -0.57  -1.23   0.31   0.12  -1.00  -0.01  -0.05  -1.47
     -0.24   1.03  -0.54  -0.79   0.65  -0.96  -0.73  -0.43  -1.90  -0.33   0.31  -1.30  -0.39   0.18  -1.88
     -0.80   1.06  -0.89  -0.40   0.75  -1.06   2.34  -0.03  -0.87   1.75   0.48  -0.47   2.68   0.49  -0.79
      1.00   1.14  -0.30  -0.08   0.87  -1.17   1.26   0.15  -1.55   0.41   0.69  -1.02   2.25   0.68  -1.10
      0.35   1.21  -0.66   0.18   1.08  -1.26   0.21   0.31  -2.14   1.54   0.90  -0.51   1.76   0.87  -1.32
     -0.33   1.28  -0.96   0.47   1.26  -1.23   2.51   0.75  -1.23   1.61   1.17  -0.33   0.73   0.99  -1.66
      1.69   1.38  -0.08   0.91   1.51  -1.11   1.12   0.86  -1.81   1.60   1.44  -0.08   2.41   1.30  -0.82
      1.31   1.41  -0.23   1.04   1.74  -0.98   2.93   1.27  -0.99   1.17   1.68   0.01   0.76   1.45  -1.38
      0.70   1.46  -0.36   1.55   1.89  -0.69   0.66   1.38  -1.87   0.57   1.85   0.04   1.52   1.74  -0.71
      2.35   1.62   0.43   2.36   1.96  -0.35   1.71   1.80  -1.24   1.02   1.95   0.66   1.54   2.00  -0.24
      1.58   1.81   0.25   2.83   1.94  -0.15   1.71   2.17  -0.91   0.37   1.91   0.71   1.24   2.19   0.06
      0.83   1.87  -0.08   1.64   1.55  -0.94   1.50   2.46  -0.59   1.35   1.69   1.35   0.43   2.35   0.16
      2.08   1.92   0.45   1.47   1.39  -0.94   0.71   2.61  -0.46   0.58   1.49   1.10   1.05   2.43   1.05
      0.81   1.77  -0.19   2.68   1.45  -0.12   1.98   2.76   0.82   0.18   1.30   0.98   1.40   2.44   1.67
      1.59   1.64   0.21   1.89   1.34  -0.20   0.75   2.64   0.62   0.06   1.15   0.97   0.19   2.41   1.34
      2.10   1.56   0.61   1.14   1.20  -0.46   1.45   2.60   1.42  -0.15   1.03   0.91   1.01   2.30   1.96
      2.17   1.40   0.89   1.92   1.28   0.07   1.94   2.46   1.95  -0.59   0.87   0.60   0.10   2.15   1.53
      2.24   1.18   1.19   2.53   1.32   0.56   0.65   2.22   1.51  -0.69   0.72   0.35   0.79   1.91   1.92
      0.60   1.01   0.87   1.23   1.30  -0.07   1.30   2.05   1.89  -0.83   0.57   0.03  -0.48   1.68   1.32
      0.43   0.81   0.92   2.63   1.35   0.91   0.04   1.80   1.35  -0.41   0.36  -0.15   0.03   1.28   1.57
      2.37   0.58   1.66   1.84   1.25   0.76   0.60   1.65   1.66  -1.19   0.24  -0.65   0.42   0.89   1.60
      1.63   0.47   1.33   2.48   1.12   1.29   0.80   1.43   1.63  -0.26   0.05  -0.57   0.66   0.49   1.33
      0.78   0.38   0.94   2.67   1.02   1.51  -0.47   1.20   0.96  -0.76  -0.02  -0.95  -0.22   0.29   0.61
      1.97   0.24   1.39   1.39   0.92   1.03  -0.08   1.01   1.00  -0.37   0.03  -0.96   0.28   0.06   0.33
      1.13   0.15   0.92   1.33   0.77   0.96   0.59   0.80   1.15  -0.86   0.03  -1.32   0.55  -0.09   0.06
      0.07   0.07   0.49   1.29   0.67   0.98  -0.34   0.59   0.59   0.11   0.07  -0.92  -0.32  -0.10  -0.57
      0.84  -0.11   0.84   1.12   0.55   1.02   0.19   0.44   0.61   0.02   0.12  -0.89   0.05  -0.13  -0.59
      1.68  -0.22   1.17   0.90   0.44   1.06   0.70   0.39   0.64  -1.20   0.18  -1.35   0.84  -0.09  -0.18
      0.16  -0.35   0.55   0.87   0.29   1.20  -0.20   0.33   0.18  -0.91   0.21  -1.14   0.09  -0.05  -0.43
      0.63  -0.52   0.82   0.48   0.17   1.27   0.99   0.32   0.57  -1.16   0.21  -1.14  -0.71  -0.03  -0.68
      0.86  -0.63   0.94   1.48   0.11   1.76   0.81   0.25   0.38  -0.24   0.24  -0.62   0.71   0.02  -0.05
      0.97  -0.74   1.00   0.83  -0.01   1.51   0.63   0.17   0.26  -1.31   0.29  -0.98   0.49   0.03  -0.17
      1.44  -0.76   1.29   0.71  -0.07   1.45   0.43   0.11   0.07   0.01   0.37  -0.42  -1.03   0.02  -0.77
     -0.08  -0.72   0.68   0.53  -0.18   1.28   0.12   0.03  -0.15  -1.67   0.40  -1.17  -0.53   0.01  -0.69
      0.64  -0.75   1.02   0.90  -0.23   1.35  -0.04  -0.02  -0.32  -0.91   0.44  -0.93  -0.09   0.06  -0.66
     -0.49  -0.68   0.65   1.06  -0.26   1.30  -0.05  -0.05  -0.42  -0.35   0.42  -0.74   0.31   0.12  -0.55
      0.59  -0.69   0.95   1.39  -0.30   1.33   0.11  -0.02  -0.45  -1.44   0.38  -1.24  -1.25   0.10  -1.14
      1.52  -0.60   1.27  -0.01  -0.32   0.76   0.39   0.06  -0.36  -1.17   0.31  -1.13  -0.87   0.16  -1.09
      0.60  -0.59   0.92   0.53  -0.37   0.89   0.40   0.17  -0.36  -1.15   0.30  -0.96  -0.50   0.25  -0.99
     -0.05  -0.43   0.65   1.17  -0.36   1.07   0.47   0.28  -0.31  -1.00   0.24  -0.66  -0.42   0.34  -0.96
