%    T1-P1  T1-P2  T1-P3  T2-P1  T2-P2  T2-P3  T3-P1  T3-P2  T3-P3  T4-P1  T4-P2  T4-P3  T5-P1  T5-P2  T5-P3
     -1.12   0.46  -0.66  -1.09   0.07  -0.71  -1.27   0.41  -0.13  -1.56   1.06   0.76  -1.23   0.72   0.23
     -1.03   0.41  -0.69  -1.09   0.07  -0.72  -1.35   0.54  -0.13  -1.56   1.13   0.81  -1.30   0.76   0.23
     -1.13   0.45  -0.71  -1.14   0.12  -0.73  -1.37   0.57  -0.15  -1.50   1.16   0.82  -1.24   0.79   0.22
     -1.19   0.48  -0.74  -1.19   0.11  -0.75  -1.25   0.59  -0.15  -1.46   1.15   0.84  -1.31   0.89   0.22
     -1.31   0.49  -0.77  -1.26   0.15  -0.76  -1.23   0.61  -0.15  -1.56   1.21   0.85  -1.35   0.92   0.21
     -1.29   0.54  -0.79  -1.22   0.15  -0.77  -1.11   0.64  -0.16  -1.58   1.25   0.87  -1.22   0.92   0.21
     -1.33   0.52  -0.81  -1.30   0.11  -0.78  -1.14   0.67  -0.17  -1.58   1.25   0.87  -1.27   0.97   0.20
     -1.33   0.67  -0.84  -1.32   0.15  -0.79  -1.11   0.70  -0.18  -1.60   1.30   0.88  -1.26   1.01   0.18
     -1.22   0.68  -0.87  -1.22   0.17  -0.80  -1.00   0.83  -0.18  -1.71   1.33   0.89  -1.18   1.11   0.17
     -1.20   0.75  -0.89  -1.26   0.19  -0.80  -1.02   0.86  -0.20  -1.63   1.34   0.91  -1.18   1.14   0.16
     -1.18   0.75  -0.93  -1.30   0.22  -0.82  -0.93   0.89  -0.21  -1.64   1.38   0.92  -1.12   1.17   0.15
     -1.23   0.78  -0.95  -1.32   0.25  -0.83  -0.89   0.92  -0.23  -1.68   1.41   0.92  -1.12   1.20   0.13
     -1.08   0.88  -0.97  -1.18   0.32  -0.83  -0.93   0.93  -0.24  -1.66   1.44   0.93  -1.07   1.21   0.12
     -1.12   0.78  -1.00  -1.22   0.25  -0.84  -0.92   1.05  -0.26  -1.64   1.42   0.94  -1.07   1.27   0.10
     -1.02   0.89  -1.03  -1.13   0.26  -0.85  -0.89   0.94  -0.29  -1.62   1.43   0.95  -1.08   1.23   0.08
     -0.91   0.81  -1.06  -1.13   0.26  -0.86  -0.95   0.92  -0.31  -1.56   1.36   0.94  -1.16   1.15   0.06
     -0.93   0.70  -1.08  -1.14   0.28  -0.87  -1.06   0.82  -0.33  -1.56   1.33   0.92  -1.27   1.07   0.03
     -0.78   0.75  -1.10  -1.04   0.17  -0.87  -1.12   0.72  -0.36  -1.51   1.30   0.88  -1.27   0.98  -0.02
     -1.08   0.63  -1.12  -1.23   0.05  -0.88  -1.16   0.62  -0.38  -1.53   1.28   0.84  -1.35   0.89  -0.05
     -1.07   0.51  -1.14  -1.26  -0.01  -0.89  -1.29   0.53  -0.40  -1.38   1.23   0.80  -1.37   0.80  -0.09
     -1.09   0.38  -1.16  -1.27  -0.12  -0.89  -1.28   0.45  -0.42  -1.21   1.17   0.76  -1.25   0.71  -0.12
     -1.32   0.30  -1.17  -1.42  -0.11  -0.90  -1.46   0.36  -0.44  -1.26   1.16   0.69  -1.29   0.56  -0.17
     -1.40   0.11  -1.20  -1.47  -0.26  -0.91  -1.42   0.28  -0.46  -1.15   1.06   0.63  -1.26   0.57  -0.21
     -1.48  -0.00  -1.21  -1.49  -0.36  -0.91  -1.34   0.20  -0.49  -0.97   1.01   0.58  -1.29   0.48  -0.26
     -1.25  -0.28  -1.23  -1.33  -0.39  -0.91  -1.45   0.18  -0.51  -0.97   0.91   0.56  -1.25   0.33  -0.30
     -1.36  -0.39  -1.25  -1.42  -0.51  -0.92  -1.46   0.10  -0.52  -0.97   0.90   0.54  -1.26   0.33  -0.33
     -1.26  -0.58  -1.26  -1.32  -0.52  -0.92  -1.32   0.03  -0.54  -0.92   0.84   0.53  -1.12   0.26  -0.36
     -1.44  -0.70  -1.27  -1.47  -0.69  -0.93  -1.35   0.01  -0.57  -0.95   0.83   0.52  -1.22   0.26  -0.40
     -1.55  -0.61  -1.28  -1.52  -0.79  -0.93  -1.30  -0.07  -0.59  -0.87   0.73   0.51  -1.14   0.18  -0.43
     -1.70  -0.77  -1.28  -1.62  -0.84  -0.93  -1.28  -0.14  -0.60  -0.98   0.71   0.55  -1.09   0.18  -0.45
     -1.84  -0.85  -1.28  -1.75  -0.96  -0.93  -1.20  -0.16  -0.62  -1.15   0.70   0.55  -1.05   0.16  -0.47
     -1.77  -0.88  -1.27  -1.69  -1.01  -0.93  -1.21  -0.16  -0.64  -1.05   0.66   0.59  -0.87   0.13  -0.49
     -1.56  -0.95  -1.26  -1.56  -1.02  -0.92  -1.27  -0.23  -0.65  -1.26   0.68   0.62  -0.80   0.14  -0.50
     -1.35  -0.94  -1.26  -1.37  -1.05  -0.92  -1.29  -0.23  -0.66  -1.15   0.63   0.66  -0.90   0.12  -0.51
     -1.42  -1.01  -1.25  -1.39  -1.08  -0.92  -1.06  -0.28  -0.67  -0.91   0.57   0.70  -0.71   0.09  -0.51
     -1.10  -1.02  -1.25  -1.16  -1.13  -0.92  -0.90  -0.32  -0.68  -0.74   0.52   0.70  -0.67   0.06  -0.52
     -1.06  -1.07  -1.25  -1.08  -1.17  -0.91  -0.93  -0.31  -0.69  -0.60   0.40   0.72  -0.81  -0.02  -0.52
     -0.89  -1.07  -1.26  -0.94  -1.26  -0.91  -0.87  -0.30  -0.69  -0.37   0.44   0.74  -0.65   0.00  -0.51
     -0.87  -1.16  -1.26  -0.90  -1.33  -0.91  -0.81  -0.42  -0.69  -0.29   0.35   0.72  -0.60  -0.05  -0.51
     -0.88  -1.14  -1.27  -0.89  -1.41  -0.91  -0.60  -0.47  -0.69  -0.20   0.22   0.70  -0.49  -0.15  -0.51
     -0.93  -1.18  -1.28  -0.85  -1.45  -0.91  -0.61  -0.60  -0.70  -0.03   0.09   0.64  -0.37  -0.23  -0.52
     -0.95  -1.19  -1.29  -0.86  -1.51  -0.91  -0.58  -0.72  -0.70  -0.00   0.15   0.61  -0.40  -0.31  -0.52
     -1.01  -1.26  -1.29  -0.85  -1.52  -0.92  -0.40  -0.87  -0.70   0.09  -0.02   0.58  -0.21  -0.47  -0.53
     -0.76  -1.30  -1.30  -0.70  -1.54  -0.92  -0.42  -0.98  -0.69   0.12  -0.12   0.54  -0.16  -0.60  -0.53
     -1.05  -1.38  -1.31  -0.90  -1.55  -0.92  -0.37  -1.11  -0.69   0.23  -0.15   0.51  -0.16  -0.58  -0.54
     -0.76  -1.42  -1.31  -0.71  -1.56  -0.92  -0.28  -1.15  -0.69   0.22  -0.30   0.48  -0.04  -0.74  -0.54
     -0.98  -1.43  -1.32  -0.78  -1.59  -0.92  -0.22  -1.05  -0.69   0.38  -0.39   0.45   0.09  -0.86  -0.55
     -0.74  -1.54  -1.32  -0.68  -1.60  -0.92  -0.18  -0.98  -0.68   0.38  -0.37   0.43   0.17  -1.00  -0.55
     -0.79  -1.56  -1.32  -0.61  -1.60  -0.92   0.08  -0.83  -0.69   0.58  -0.48   0.38   0.37  -0.98  -0.56
     -0.55  -1.63  -1.31  -0.58  -1.61  -0.91   0.13  -0.79  -0.68   0.57  -0.57   0.37   0.44  -0.93  -0.57
     -0.69  -1.71  -1.31  -0.57  -1.66  -0.91   0.21  -0.82  -0.68   0.71  -0.50   0.36   0.55  -0.86  -0.57
     -0.54  -1.76  -1.31  -0.51  -1.65  -0.91   0.28  -0.73  -0.68   0.89  -0.47   0.36   0.61  -0.78  -0.57
     -0.28  -1.81  -1.30  -0.41  -1.64  -0.91   0.27  -0.72  -0.67   0.72  -0.40   0.36   0.39  -0.69  -0.58
      0.03  -1.77  -1.30  -0.23  -1.68  -0.91   0.27  -0.71  -0.67   0.78  -0.25   0.36   0.39  -0.63  -0.58
     -0.01  -1.82  -1.29  -0.31  -1.64  -0.91   0.48  -0.65  -0.67   0.97  -0.25   0.39   0.61  -0.55  -0.58
     -0.04  -1.76  -1.28  -0.38  -1.64  -0.91   0.60  -0.63  -0.67   0.89  -0.16   0.41   0.74  -0.56  -0.57
      0.23  -1.78  -1.27  -0.28  -1.67  -0.90   0.40  -0.70  -0.67   0.76  -0.11   0.43   0.64  -0.53  -0.56
      0.26  -1.75  -1.27  -0.23  -1.63  -0.91   0.38  -0.72  -0.67   0.76  -0.08   0.45   0.64  -0.53  -0.56
      0.11  -1.82  -1.27  -0.28  -1.61  -0.91   0.40  -0.84  -0.66   0.89  -0.12   0.49   0.57  -0.50  -0.54
      0.22  -1.77  -1.26  -0.20  -1.65  -0.91   0.43  -1.24  -0.66   0.86  -0.14   0.53   0.55  -0.53  -0.53
      0.26  -1.76  -1.25  -0.20  -1.64  -0.91   0.57  -1.32  -0.65   1.35  -0.19   0.58   0.80  -0.57  -0.51
      0.17  -1.75  -1.26  -0.26  -1.66  -0.91   0.50  -1.46  -0.65   1.52  -0.28   0.63   0.74  -0.72  -0.50
      0.05  -1.74  -1.25  -0.38  -1.64  -0.91   0.31  -1.57  -0.64   1.67  -0.41   0.69   0.78  -1.22  -0.48
      0.17  -1.74  -1.25  -0.36  -1.67  -0.92   0.33  -1.56  -0.63   1.85  -0.88   0.76   0.99  -1.50  -0.46
     -0.05  -1.69  -1.24  -0.56  -1.61  -0.92   0.16  -1.62  -0.62   2.14  -1.43   0.80   1.16  -1.38  -0.43
      0.08  -1.69  -1.22  -0.51  -1.65  -0.92   0.28  -1.62  -0.60   2.26  -1.51   0.81   1.34  -1.31  -0.41
      0.24  -1.69  -1.21  -0.40  -1.60  -0.92   0.30  -1.64  -0.59   2.29  -1.42   0.81   1.34  -1.38  -0.39
      0.13  -1.60  -1.19  -0.46  -1.58  -0.91   0.39  -1.65  -0.58   2.50  -1.07   0.78   1.57  -1.44  -0.38
      0.02  -1.59  -1.18  -0.62  -1.57  -0.91   0.55  -1.62  -0.57   2.58  -0.98   0.75   1.68  -1.46  -0.37
     -0.20  -1.55  -1.16  -1.04  -1.55  -0.91   0.80  -1.61  -0.55   2.62  -0.82   0.73   1.84  -1.49  -0.35
      0.06  -1.52  -1.14  -1.08  -1.56  -0.90   0.96  -1.57  -0.54   2.67  -0.86   0.67   2.00  -1.56  -0.35
      0.15  -1.52  -1.12  -1.12  -1.53  -0.90   1.20  -1.56  -0.53   2.73  -0.83   0.65   2.21  -1.56  -0.33
      0.52  -1.51  -1.10  -0.93  -1.51  -0.89   1.35  -1.51  -0.52   2.72  -0.81   0.61   2.20  -1.57  -0.34
      0.42  -1.56  -1.11  -0.96  -1.48  -0.89   1.35  -1.48  -0.52   2.63  -0.91   0.56   2.23  -1.59  -0.34
      0.35  -1.50  -1.11  -0.92  -1.41  -0.89   1.37  -1.45  -0.53   2.50  -0.94   0.49   2.18  -1.57  -0.37
      0.51  -1.49  -1.11  -0.81  -1.36  -0.89   1.48  -1.40  -0.52   2.40  -0.96   0.47   2.24  -1.54  -0.37
      0.75  -1.47  -1.11  -0.54  -1.36  -0.89   1.26  -1.37  -0.53   2.18  -1.07   0.42   1.94  -1.55  -0.39
      0.51  -1.45  -1.11  -0.49  -1.34  -0.89   1.07  -1.19  -0.53   1.97  -1.10   0.40   1.66  -1.52  -0.40
      0.17  -1.44  -1.12  -0.54  -1.38  -0.89   0.84  -1.18  -0.54   1.61  -1.12   0.34   1.42  -1.48  -0.43
      0.07  -1.40  -1.12  -0.54  -1.37  -0.89   1.08  -1.06  -0.53   1.34  -1.15   0.32   1.34  -1.48  -0.43
     -0.11  -1.37  -1.12  -0.53  -1.35  -0.89   1.12  -1.04  -0.53   1.39  -1.19   0.26   1.41  -1.44  -0.44
     -0.20  -1.41  -1.13  -0.59  -1.34  -0.89   1.26  -0.89  -0.52   1.50  -1.16   0.23   1.52  -1.39  -0.44
     -0.26  -1.40  -1.13  -0.68  -1.33  -0.89   1.33  -0.75  -0.51   1.65  -1.26   0.17   1.66  -1.28  -0.44
     -0.42  -1.39  -1.13  -0.76  -1.26  -0.89   1.29  -0.72  -0.50   1.59  -1.28   0.14   1.72  -1.16  -0.44
     -0.37  -1.31  -1.12  -0.71  -1.29  -0.88   1.28  -0.60  -0.49   1.77  -1.19   0.10   1.71  -1.14  -0.43
     -0.26  -1.26  -1.13  -0.70  -1.26  -0.88   1.30  -0.57  -0.49   1.92  -1.29   0.05   1.75  -0.98  -0.44
     -0.32  -1.25  -1.12  -0.67  -1.24  -0.88   1.33  -0.37  -0.48   1.64  -1.29   0.02   1.70  -0.83  -0.44
     -0.51  -1.20  -1.11  -0.73  -1.18  -0.88   1.21  -0.33  -0.47   1.56  -1.29  -0.02   1.47  -0.80  -0.44
     -0.78  -1.17  -1.11  -0.81  -1.17  -0.87   1.11  -0.21  -0.47   1.46  -1.27  -0.06   1.43  -0.64  -0.45
     -0.75  -1.16  -1.09  -0.65  -1.16  -0.86   1.00  -0.08  -0.46   1.28  -1.24  -0.10   1.21  -0.51  -0.46
     -0.84  -1.18  -1.09  -0.66  -1.02  -0.86   1.04  -0.04  -0.45   1.16  -1.24  -0.13   1.23  -0.40  -0.46
     -0.66  -1.05  -1.07  -0.56  -1.07  -0.85   0.83   0.05  -0.44   1.03  -1.08  -0.18   1.14  -0.36  -0.47
     -0.52  -1.10  -1.06  -0.53  -1.05  -0.84   0.92   0.11  -0.43   1.15  -0.93  -0.22   1.36  -0.28  -0.47
     -0.47  -0.94  -1.03  -0.50  -1.00  -0.83   0.84   0.14  -0.41   1.10  -0.70  -0.24   1.36  -0.24  -0.46
     -0.60  -0.83  -1.01  -0.54  -0.96  -0.82   1.08   0.16  -0.39   1.32  -0.58  -0.25   1.48  -0.20  -0.46
     -0.70  -0.87  -0.98  -0.60  -0.85  -0.81   1.10   0.23  -0.37   1.10  -0.51  -0.25   1.30  -0.20  -0.44
     -0.60  -0.65  -0.95  -0.65  -0.78  -0.80   1.13   0.23  -0.35   1.17  -0.53  -0.24   1.22  -0.12  -0.43
     -0.71  -0.45  -0.92  -0.68  -0.66  -0.78   1.16   0.23  -0.33   1.06  -0.56  -0.25   1.25  -0.08  -0.42
     -0.74  -0.17  -0.88  -0.78  -0.44  -0.77   1.34   0.32  -0.29   1.05  -0.49  -0.24   1.33   0.03  -0.39
     -0.28  -0.06  -0.82  -0.56  -0.34  -0.74   1.28   0.34  -0.25   0.96  -0.43  -0.22   1.37   0.18  -0.35
     -0.33   0.10  -0.77  -0.57  -0.19  -0.72   1.40   0.50  -0.21   0.93  -0.23  -0.20   1.53   0.28  -0.31
     -0.25   0.23  -0.72  -0.52  -0.06  -0.69   1.41   0.56  -0.17   0.97  -0.19  -0.18   1.58   0.36  -0.26
     -0.14   0.24  -0.66  -0.52  -0.04  -0.66   1.49   0.65  -0.11   0.99  -0.15  -0.14   1.56   0.49  -0.19
      0.12   0.15  -0.59  -0.36  -0.09  -0.62   1.71   0.84  -0.05   1.10  -0.28  -0.10   1.61   0.52  -0.14
      0.01   0.23  -0.54  -0.40  -0.07  -0.59   1.54   0.94   0.02   1.20  -0.21  -0.07   1.52   0.48  -0.08
     -0.43   0.42  -0.46  -0.65   0.08  -0.54   1.35   0.98   0.11   1.21   0.01  -0.02   1.37   0.63  -0.00
     -0.73   0.51  -0.38  -0.63   0.17  -0.48   1.40   0.99   0.21   1.10   1.02   0.01   1.29   0.89   0.07
     -0.55   0.64  -0.32  -0.53   0.34  -0.44   1.59   1.08   0.33   0.98   1.04   0.05   1.42   1.50   0.16
     -0.26   0.75  -0.26  -0.44   0.43  -0.39   1.77   1.31   0.46   0.95   1.37   0.06   1.45   1.65   0.25
     -0.36   1.01  -0.19  -0.47   0.66  -0.34   1.91   1.87   0.60   0.91   1.70   0.10   1.56   2.03   0.35
     -0.52   1.08  -0.15  -0.56   0.87  -0.29   1.98   2.13   0.75   0.72   1.92   0.11   1.62   2.09   0.46
     -0.32   1.10  -0.10  -0.29   1.01  -0.25   1.82   2.65   0.89   0.58   1.78   0.13   1.50   2.37   0.56
     -0.01   1.28  -0.03  -0.01   1.20  -0.19   1.99   2.77   1.03   0.38   1.90   0.17   1.40   2.41   0.67
      0.29   1.40   0.01   0.11   1.29  -0.15   2.05   2.99   1.16   0.33   1.78   0.22   1.43   2.50   0.78
      0.32   1.37   0.05   0.18   1.34  -0.12   2.14   3.04   1.33   0.08   1.75   0.28   1.37   2.53   0.90
      0.53   1.23   0.09   0.28   1.09  -0.08   2.16   3.00   1.45  -0.02   1.60   0.32   1.36   2.46   1.00
      0.31   1.26   0.15   0.17   1.06  -0.03   2.10   3.06   1.60  -0.26   1.46   0.36   1.25   2.50   1.12
      0.11   1.11   0.20   0.04   0.83   0.00   1.96   2.91   1.71  -0.30   1.35   0.40   1.28   2.44   1.24
      0.17   1.00   0.24   0.19   0.70   0.03   1.56   2.80   1.81  -0.22   1.29   0.46   0.99   2.35   1.37
     -0.06   0.98   0.28   0.05   0.67   0.07   1.41   2.67   1.90  -0.25   1.26   0.49   0.95   2.19   1.48
      0.27   0.97   0.33   0.42   0.66   0.10   1.22   2.53   1.98   0.00   1.20   0.54   0.74   2.07   1.58
      0.26   0.83   0.38   0.33   0.51   0.13   1.05   2.41   2.07   0.12   1.13   0.61   0.60   2.00   1.68
      0.16   0.84   0.41   0.32   0.53   0.15   1.07   2.23   2.15   0.17   0.99   0.67   0.60   1.96   1.77
      0.31   0.86   0.47   0.29   0.55   0.19   1.14   2.09   2.21   0.28   0.84   0.76   0.57   1.89   1.86
      0.54   0.86   0.48   0.38   0.59   0.19   1.16   2.10   2.27   0.27   0.77   0.87   0.39   1.81   1.95
      0.93   0.95   0.54   0.63   0.63   0.24   1.26   2.06   2.29   0.38   0.42   0.94   0.43   1.69   2.01
      0.86   0.90   0.58   0.72   0.60   0.27   1.06   1.90   2.34   0.42   0.31   1.05   0.34   1.59   2.09
      0.99   0.86   0.64   0.76   0.68   0.30   0.84   1.85   2.36   0.52  -0.03   1.16   0.18   1.51   2.15
      0.97   0.85   0.68   0.84   0.57   0.33   0.70   1.79   2.43   0.49  -0.26   1.29   0.30   1.29   2.25
      1.10   0.76   0.72   1.00   0.52   0.36   0.66   1.58   2.47   0.53  -0.44   1.40   0.40   1.20   2.34
      1.35   0.70   0.78   1.05   0.39   0.39   0.78   1.37   2.52   0.50  -0.60   1.50   0.57   0.88   2.42
      1.55   0.62   0.84   1.18   0.33   0.43   0.91   1.07   2.60   0.67  -0.65   1.63   0.78   0.58   2.54
      1.67   0.39   0.90   1.29   0.26   0.46   1.28   0.84   2.67   0.77  -0.57   1.75   0.94   0.38   2.65
      1.94   0.32   0.95   1.44   0.31   0.49   1.56   0.63   2.74   0.87  -0.47   1.85   1.01   0.20   2.73
      2.09   0.23   1.00   1.57   0.26   0.52   1.57   0.44   2.80   0.98  -0.39   1.95   1.00  -0.05   2.82
      2.20   0.08   1.05   1.67   0.20   0.54   1.67   0.33   2.87   0.94  -0.36   2.04   1.04  -0.14   2.88
      2.23   0.14   1.10   1.74   0.23   0.56   1.56   0.21   2.94   1.05  -0.38   2.10   1.15  -0.08   2.96
      2.16   0.04   1.14   1.70   0.15   0.58   1.30   0.14   2.99   1.06  -0.47   2.15   1.06   0.00   3.03
      2.29   0.05   1.20   1.79   0.12   0.60   1.19   0.19   3.01   1.06  -0.59   2.17   1.04   0.05   3.06
      2.52  -0.01   1.25   2.01   0.02   0.62   1.05   0.25   3.03   1.10  -0.81   2.19   1.08   0.06   3.09
      2.48  -0.06   1.32   1.96   0.05   0.65   1.30   0.27   3.05   1.12  -0.90   2.21   1.31  -0.05   3.09
      2.80  -0.08   1.39   2.17   0.08   0.68   1.46   0.18   3.06   1.12  -0.96   2.18   1.41  -0.15   3.08
      2.81  -0.06   1.39   2.25   0.03   0.67   1.67   0.12   3.01   1.14  -0.98   2.12   1.55  -0.31   3.02
      2.80   0.00   1.43   2.23   0.00   0.67   1.79  -0.04   2.94   1.14  -0.99   2.07   1.54  -0.39   2.95
      2.34   0.03   1.42   2.04   0.01   0.64   1.81  -0.13   2.88   1.16  -0.97   2.00   1.61  -0.44   2.87
      1.98   0.05   1.38   1.71  -0.07   0.59   1.72  -0.15   2.83   1.08  -0.94   1.95   1.51  -0.46   2.80
      1.79   0.10   1.35   1.58  -0.06   0.56   1.58  -0.17   2.71   0.96  -0.92   1.89   1.42  -0.47   2.69
      1.67   0.13   1.27   1.50   0.04   0.49   1.21  -0.18   2.60   0.79  -0.83   1.82   1.14  -0.45   2.58
      1.35   0.14   1.18   1.35  -0.02   0.41   1.15  -0.19   2.48   0.71  -0.77   1.73   1.06  -0.43   2.46
      1.05   0.05   1.11   1.11  -0.05   0.35   0.90  -0.16   2.37   0.61  -0.69   1.60   0.94  -0.42   2.35
      0.79   0.06   1.02   0.93  -0.04   0.28   0.74  -0.15   2.23   0.54  -0.71   1.45   0.77  -0.32   2.19
      0.42   0.00   0.93   0.55  -0.08   0.22   0.66  -0.10   2.10   0.51  -0.48   1.31   0.70  -0.24   2.04
      0.14   0.04   0.85   0.36   0.00   0.16   0.81  -0.05   2.02   0.50  -0.40   1.18   0.81  -0.14   1.93
     -0.12   0.05   0.80   0.14  -0.04   0.13   0.81   0.02   1.90   0.53  -0.37   1.01   0.80  -0.03   1.80
     -0.18   0.02   0.71   0.04  -0.02   0.08   0.76   0.12   1.81   0.52  -0.38   0.89   0.81   0.04   1.73
     -0.01   0.00   0.65   0.18  -0.05   0.05   0.80   0.23   1.74   0.45  -0.42   0.83   0.84   0.07   1.67
     -0.15   0.01   0.60   0.08   0.04   0.02   0.68   0.30   1.63   0.43  -0.49   0.78   0.78   0.09   1.58
     -0.23   0.12   0.56   0.14   0.06  -0.00   0.72   0.34   1.56   0.35  -0.50   0.76   0.74   0.08   1.52
     -0.18   0.05   0.53   0.25  -0.00  -0.01   0.64   0.33   1.47   0.30  -0.55   0.71   0.68   0.03   1.43
     -0.19   0.19   0.48   0.23   0.11  -0.03   0.53   0.27   1.40   0.32  -0.56   0.67   0.65  -0.06   1.37
     -0.37   0.17   0.45   0.16   0.08  -0.05   0.42   0.22   1.34   0.35  -0.55   0.63   0.57  -0.13   1.32
     -0.45   0.14   0.41   0.08   0.04  -0.06   0.36   0.22   1.27   0.33  -0.52   0.59   0.57  -0.15   1.27
